Time,FlowID,OldRate,NewRate
0.000897168,4,100.00,50.78
0.000900036,3,100.00,50.78
0.000901168,4,50.78,25.97
0.000903605,2,100.00,50.58
0.000904036,3,50.78,25.87
0.000905168,4,25.97,13.38
0.000906298,1,100.00,50.58
0.000907605,2,50.58,25.88
0.000908036,3,25.87,13.23
0.000909168,4,13.38,6.94
0.000910298,1,50.58,25.88
0.000911605,2,25.88,13.33
0.000912036,3,13.23,6.84
0.000913168,4,6.94,3.60
0.000914298,1,25.88,13.28
0.000915605,2,13.33,6.87
0.000916036,3,6.84,3.53
0.000917168,4,3.60,1.87
0.000918298,1,13.28,6.82
0.000919605,2,6.87,3.54
0.000920036,3,3.53,1.83
0.000921168,4,1.87,0.97
0.000922298,1,6.82,3.50
0.000923605,2,3.54,1.82
0.000924036,3,1.83,0.94
0.000925168,4,0.97,0.50
0.000926298,1,3.50,1.79
0.000927605,2,1.82,0.94
0.000928036,3,0.94,0.49
0.000929168,4,0.50,0.26
0.000930298,1,1.79,0.92
0.000931605,2,0.94,0.48
0.000932036,3,0.49,0.25
0.000933168,4,0.26,0.13
0.000934298,1,0.92,0.47
0.000935605,2,0.48,0.25
0.000936036,3,0.25,0.13
0.000937168,4,0.13,0.10
0.000938298,1,0.47,0.24
0.000939583,6,100.00,50.58
0.000939605,2,0.25,0.13
0.000940036,3,0.13,0.10
0.000942298,1,0.24,0.12
0.000943032,7,100.00,50.58
0.000943281,5,100.00,50.58
0.000943605,2,0.13,0.10
0.000946298,1,0.12,0.10
0.000947032,7,50.58,25.68
0.000947281,5,50.58,25.88
0.000947583,6,50.58,25.96
0.000951032,7,25.68,13.13
0.000951281,5,25.88,13.28
0.000951583,6,25.96,13.47
0.000955032,7,13.13,6.74
0.000955281,5,13.28,6.82
0.000955583,6,13.47,6.99
0.000959032,7,6.74,3.46
0.000959281,5,6.82,3.50
0.000959583,6,6.99,3.62
0.000963032,7,3.46,1.77
0.000963281,5,3.50,1.79
0.000963583,6,3.62,1.88
0.000967032,7,1.77,0.91
0.000967281,5,1.79,0.92
0.000967583,6,1.88,0.97
0.000971032,7,0.91,0.47
